200	0.30
210	0.31
220	0.31
230	0.31
240	0.31
250	0.31
260	0.31
270	0.31
280	0.31
290	0.31
300	0.31
310	0.31
320	0.31
330	0.31
340	0.32
350	0.32
360	0.32
370	0.31
380	0.32
390	0.32
400	0.32
410	0.32
420	0.33
430	0.37
440	0.41
450	0.46
460	0.50
470	0.54
480	0.59
490	0.63
500	0.67
510	0.68
520	0.70
530	0.71
540	0.72
550	0.73
560	0.73
570	0.74
580	0.75
590	0.75
600	0.75
610	0.76
620	0.76
630	0.76
640	0.76
650	0.76
660	0.76
670	0.75
680	0.74
690	0.73
700	0.72
710	0.70
720	0.69
730	0.67
740	0.65
750	0.63
760	0.61
770	0.59
780	0.57
790	0.54
800	0.52
810	0.49
820	0.46
830	0.43
840	0.40
850	0.37
860	0.34
870	0.32
880	0.28
890	0.26
900	0.23
910	0.20
920	0.18
930	0.16
940	0.14
950	0.12
960	0.10
970	0.08
980	0.07
990	0.06
1000	0.05


