250	0.06
260	0.06
270	0.06
280	0.07
290	0.11
300	0.13
310	0.16
320	0.19
330	0.23
340	0.27
350	0.32
360	0.38
370	0.45
380	0.53
390	0.60
400	0.65
410	0.70
420	0.72
430	0.74
440	0.76
450	0.77
460	0.78
470	0.79
480	0.79
490	0.80
500	0.80
510	0.79
520	0.79
530	0.78
540	0.77
550	0.76
560	0.75
570	0.74
580	0.73
590	0.72
600	0.71
610	0.70
620	0.69
630	0.68
640	0.67
650	0.66
660	0.65
670	0.64
680	0.62
690	0.61
700	0.60
710	0.58
720	0.57
730	0.55
740	0.53
750	0.52
760	0.50
770	0.48
780	0.46
790	0.44
800	0.42
810	0.39
820	0.37
830	0.35
840	0.33
850	0.30
860	0.28
870	0.26
880	0.24
890	0.21
900	0.19
910	0.17
920	0.15
930	0.14
940	0.12
950	0.10
960	0.09
970	0.07
980	0.06
990	0.05
1000	0.04
